Tienda,cluster,latitude,longitude,Nombre Tienda,Region
20000459,0,3.475404,-76.4786627,tienda mixta yoli,region cali
20000465,2,3.4948534,-76.4896923,tienda mixta,region cali
20000466,4,3.4711622,-76.487619,tienda mixta,region cali
20000468,0,3.4711666,-76.49204540000002,tienda mixta la economica,region cali
20000469,7,3.4754549,-76.48216190000002,tienda miwi,region cali
20000474,0,3.4802818,-76.48652290000003,variedades lili,region cali
20000477,0,3.4639687999999995,-76.5139315,el jardin,region cali
20000478,7,3.4516467000000004,-76.53198540000002,tienda blanca stella,region cali
20000479,7,3.4761551,-76.48376809999998,miscelania oriental,region cali
20000480,1,3.481768,-76.4853455,tienda palo de mango,region cali
20000481,0,3.481768,-76.4853455,tienda mixta,region cali
20000482,0,3.4584411,-76.51531969999998,tienda la economia l.l,region cali
20000483,0,3.4803571000000004,-76.48104959999998,tienda el vencedor,region cali
20000485,7,3.4381884,-76.4809248,tienda mixta,region cali
20000487,0,3.4803827000000003,-76.4805303,variedades jenny,region cali
20000489,7,3.4537081,-76.5469948,variedades maria isabella,region cali
20000490,0,3.4803571000000004,-76.48104959999998,tienda popular,region cali
20000492,7,3.4816007000000004,-76.48219279999998,tienda mixta rubí,region cali
20000493,7,3.4803571000000004,-76.48104959999998,miscelanea mil variedades sonia,region cali
20000494,3,3.4803571000000004,-76.48104959999998,el castillo de mary,region cali
20000497,0,3.478228,-76.4813082,tienda manolete,region cali
20000498,0,3.478228,-76.4813082,verduras calidad,region cali
20000501,0,3.4711738,-76.509598,tienda mixta,region cali
20000502,7,3.4746034,-76.4863621,variedades el rey,region cali
20000503,0,3.4745992,-76.48811239999998,tiend z y s,region cali
20000505,3,3.4774935,-76.4800762,tienda mixta,region cali
20000507,0,3.478228,-76.4813082,tienda b y k,region cali
20000509,4,3.4591208,-76.4859571,variedades dali,region cali
20000511,0,3.4690102999999994,-76.48303779999998,el rincon de elkin,region cali
20000512,3,3.4678315000000004,-76.4890589,tienda mixta,region cali
20000514,0,3.4683163999999995,-76.48983989999998,variedades ruby,region cali
20000515,0,3.471063,-76.502945,tienda mixta,region cali
20000517,3,3.4658592000000006,-76.49498249999998,tienda mixta andrea,region cali
20000520,0,3.4683163999999995,-76.48983989999998,salsamentaria ortega,region cali
20000521,1,3.4651625,-76.4930945,tienda mixta,region cali
20000522,0,3.4660053,-76.4926603,tienda xiomi,region cali
20000525,6,3.4676846,-76.48998569999998,granero el paisa,region cali
20000526,0,3.4669455,-76.492171,tienda las palmas,region cali
20000527,2,3.4659949,-76.49457,tienda arteaga detalles,region cali
20000528,2,3.4625858,-76.48260390000002,tienda los primos,region cali
20000529,0,3.4633986000000005,-76.48129709999998,tienda mixta martha,region cali
20000530,0,3.4668117999999994,-76.477901,la fonda paisa,region cali
20000533,0,3.4637677000000004,-76.4788777,tienda mixta,region cali
20000534,5,3.4640455,-76.4853378,tienda mixta,region cali
20000535,2,3.4643846,-76.47949559999998,tienda mini 14,region cali
20000537,7,3.4651725,-76.48247690000002,rancho y licores miguel,region cali
20000538,0,3.466036,-76.477825,tienda dicar,region cali
20000540,0,3.4643846,-76.47949559999998,tienda a.m cali,region cali
20000541,2,3.464361,-76.4784762,tienda mixta nico,region cali
20000543,2,3.4637677000000004,-76.4788777,tienda mixta,region cali
20000544,0,3.4610348,-76.48027929999998,tienda mixta,region cali
20000547,0,3.4643982,-76.4780583,tienda mixta toldo rojo,region cali
20000549,0,3.459922,-76.48262740000001,miscelanea detodito,region cali
